Frame,X,Y
0,831.5,432.0
1,830.5,431.0
2,830.5,431.0
3,831.5,431.0
4,832.0,432.0
5,831.5,432.0
6,831.5,432.5
7,831.0,431.5
8,832.0,431.5
9,831.0,431.0
10,830.5,431.0
11,832.0,432.0
12,831.0,431.5
13,830.5,430.5
14,830.5,431.5
15,830.5,431.0
16,831.0,431.5
17,850.3333333333334,363.3333333333333
18,830.6666666666666,366.0
19,793.0,366.6666666666667
20,753.0,371.3333333333333
21,724.3333333333334,375.6666666666667
22,697.6666666666666,381.0
23,674.3333333333334,386.3333333333333
24,652.3333333333334,392.3333333333333
25,634.6666666666666,399.0
26,671.0,390.0
27,605.0,411.0
28,596.75,409.25
29,733.6666666666666,418.6666666666667
30,708.6666666666666,420.3333333333333
31,685.0,423.6666666666667
32,663.3333333333334,428.0
33,643.3333333333334,431.3333333333333
34,626.6666666666666,435.6666666666667
35,610.0,439.0
36,595.0,441.6666666666667
37,583.0,445.0
38,572.3333333333334,448.0
39,831.0,431.0
40,865.6666666666666,334.0
41,830.3333333333334,326.6666666666667
42,798.3333333333334,326.0
43,772.3333333333334,326.3333333333333
44,744.6666666666666,328.0
45,713.0,329.3333333333333
46,682.6666666666666,330.3333333333333
47,657.0,334.6666666666667
48,607.75,328.375
49,582.25,337.0
50,557.875,346.25
51,538.125,355.625
52,527.125,360.875
53,831.3333333333334,430.3333333333333
54,831.0,430.3333333333333
55,830.3333333333334,430.6666666666667
56,831.6666666666666,430.6666666666667
57,831.0,430.6666666666667
58,831.3333333333334,430.3333333333333
59,831.6666666666666,431.3333333333333
60,833.0,431.3333333333333
61,831.3333333333334,430.6666666666667
62,832.3333333333334,431.3333333333333
63,833.3333333333334,430.6666666666667
64,833.0,432.0
65,833.0,432.0
66,832.5,431.5
67,832.0,429.0
68,830.0,429.0
