Frame,X,Y
0,831.5,432.0
1,830.5,431.0
2,830.5,431.0
3,831.5,431.0
4,832.0,432.0
5,831.5,432.0
6,831.5,432.5
7,831.0,431.5
8,832.0,431.5
9,831.0,431.0
10,830.5,431.0
11,832.0,432.0
12,831.0,431.5
13,830.5,430.5
14,830.5,431.5
15,830.5,431.0
16,831.0,431.5
17,850.3333333333334,363.3333333333333
18,830.6666666666666,366.0
19,793.0,366.6666666666667
20,753.0,371.3333333333333
21,724.3333333333334,375.6666666666667
22,697.6666666666666,381.0
23,674.3333333333334,386.3333333333333
24,652.3333333333334,392.3333333333333
25,634.6666666666666,399.0
26,671.0,390.0
27,605.0,411.0
28,596.75,409.25
29,733.6666666666666,418.6666666666667
30,708.6666666666666,420.3333333333333
31,685.0,423.6666666666667
32,663.3333333333334,428.0
33,643.3333333333334,431.3333333333333
34,626.6666666666666,435.6666666666667
35,610.0,439.0
36,595.0,441.6666666666667
37,583.0,445.0
38,572.3333333333334,448.0
39,831.0,431.0
40,865.6666666666666,334.0
41,830.3333333333334,326.6666666666667
42,798.3333333333334,326.0
43,772.3333333333334,326.3333333333333
44,744.6666666666666,328.0
45,713.0,329.3333333333333
46,682.6666666666666,330.3333333333333
47,657.0,334.6666666666667
48,632.6666666666666,340.0
49,610.0,347.6666666666667
50,588.3333333333334,356.0
51,571.0,364.3333333333333
52,561.0,369.0
53,831.25,430.0
54,831.0,430.0
55,830.25,430.25
56,831.5,430.25
57,830.375,429.625
58,831.25,430.0
59,831.5,431.0
60,833.0,431.0
61,831.0,430.25
62,832.25,431.0
63,833.25,430.25
64,833.0,431.0
65,833.0,431.0
66,832.25,430.25
67,832.5,430.25
68,831.0,430.0
69,830.75,430.25
70,832.75,431.0
71,831.5,430.0
72,831.5,430.25
73,831.5,430.25
74,830.5,429.5
75,830.5,430.25
76,831.5,430.0
77,830.5,430.0
78,830.75,429.75
79,830.75,430.0
80,830.0,429.0
81,832.0,430.0
82,829.0,429.0
83,830.0,429.0
84,830.0,429.0
85,830.0,429.0
86,830.0,429.0
87,830.0,429.0
88,830.0,429.0
89,830.0,429.0
90,829.0,429.0
91,831.0,429.0
92,831.0,429.0
93,830.0,429.0
94,830.0,429.0
95,830.0,429.0
96,831.0,429.0
97,830.0,429.0
98,831.0,429.0
99,830.0,429.0
100,831.0,429.0
101,830.0,429.0
102,831.0,429.0
103,831.0,429.0
104,830.0,429.0
105,830.0,429.0
106,830.0,429.0
107,831.0,429.0
108,831.0,429.0
109,831.0,429.0
110,831.0,429.0
111,831.0,429.0
112,831.0,429.0
113,830.0,429.0
114,831.0,430.0
115,831.0,429.0
116,831.0,429.0
117,831.0,429.0
118,831.0,429.0
119,831.0,429.0
120,831.0,429.0
121,830.0,429.0
122,831.0,429.0
123,830.0,429.0
124,830.0,429.0
125,830.0,429.0
126,831.0,429.0
127,830.0,429.0
128,830.0,429.0
129,831.0,429.0
130,831.0,429.0
131,831.0,429.0
132,831.0,430.0
133,831.0,429.0
134,831.0,429.0
135,832.0,430.0
136,831.0,429.0
137,830.0,429.0
138,830.0,429.0
139,830.0,429.0
140,831.0,429.0
141,831.0,429.0
142,832.0,429.0
143,830.0,429.0
144,831.0,429.0
145,831.0,429.0
146,831.0,428.0
147,831.0,429.0
148,829.0,429.0
